"phase","institution","filename","status","bytes","url","retrieved","error"
"3","SFU","nd_SFU_Alternative-Transportation-Parking-Sustainable-Mobility.url","LINK-SAVED","0","https://www.sfu.ca/parking/alternative-transport.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_U-Pass-BC-general-info.url","LINK-SAVED","0","https://www.sfu.ca/students/enrolment-services/upass/general-info.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_EV-Charging-Stations-page.url","LINK-SAVED","0","https://www.sfu.ca/parking/alternative-transport/ev-charging-stations.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_New-EV-Charger-Additions-Support-Emissions-Goals.url","LINK-SAVED","0","https://www.sfu.ca/vpfa/news-events/news/ev-charging.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Analyzing-travel-patterns-to-SFU-Steer-Group.url","LINK-SAVED","0","https://steergroup.com/projects/analyzing-travel-patterns-simon-fraser-university","2026-08-18T14:14:52",""
"3","SFU","2022_SFU_Embedding-Sustainability-and-Climate-Action-ESCA-Framework.url","LINK-SAVED","0","https://www.sfu.ca/sustainability/about/our-approach/esca.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Sustainability-Policy-GP-38.url","LINK-SAVED","0","https://www.sfu.ca/policies/gazette/general/gp38.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Sustainability-and-Climate-Office-About.url","LINK-SAVED","0","https://www.sfu.ca/sustainability/about/sfu-sustainability.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Sustainable-Development-Goals-hub.url","LINK-SAVED","0","https://www.sfu.ca/sustainable-development-goals.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Sustainability-Impact-Measurement-Initiative-SIMI.url","LINK-SAVED","0","https://www.sfu.ca/sustainability/commitments-initiatives.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_EV-Charging-Alliance-resource-hub.url","LINK-SAVED","0","https://foresightcac.com/report/electric-vehicle-charging-alliance","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Foresight-Canada-research-requests-contact.url","LINK-SAVED","0","https://foresightcac.com/research-requests","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Foresight-Canada-infrastructure-clean-energy-hub.url","LINK-SAVED","0","https://foresightcac.com/infrastructure#clean-energy","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_SFU-Facilities-Sustainable-Development.url","LINK-SAVED","0","https://www.sfu.ca/fs/projects-initiatives/sustainable-initiatives/sustainable-development.html","2026-08-18T14:14:52",""
"3","SFU","2020_SFU_Sustainable-Energy-and-Engineering-Building-SE3P-Surrey.url","LINK-SAVED","0","https://reveryarchitecture.com/projects/sfu-sustainable-energy-and-engineering-building/","2026-08-18T14:14:52",""
"3","TRU","2024_TRU_Low-Carbon-District-Energy-System-LCDES.url","LINK-SAVED","0","https://www.tru.ca/sustainability/lcdes.html","2026-08-18T14:14:52",""
"3","TRU","2022_TRU_TRU-STARS-Report-v2.2-Platinum-86.17.url","LINK-SAVED","0","https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2022-05-31/","2026-08-18T14:14:52",""
"3","TRU","2018_TRU_TRU-STARS-Report-v2.1-Platinum.url","LINK-SAVED","0","https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/","2026-08-18T14:14:52",""
"3","TRU","2011_TRU_TRU-STARS-Reports-v2.0-2015-Gold-and-v1.1-2011-Silver.url","LINK-SAVED","0","https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2015-03-03/","2026-08-18T14:14:52",""
"3","UFV","2023_UFV_Sustainability-Action-Pathway-in-development.url","LINK-SAVED","0","https://www.ufv.ca/sustainable-ufv/commitment/plans-policies-reports/sustainability-action-pathway/","2026-08-18T14:14:52",""
"3","UFV","2024_UFV_Energy-and-Climate-Resilience-Pathway-Plan-in-development.url","LINK-SAVED","0","https://www.ufv.ca/sustainable-ufv/commitment/plans-policies-reports/climate-resilience-pathway/","2026-08-18T14:14:52",""
"3","UFV","2026_UFV_UFV-STARS-Report-v3.0-Gold-69.12.url","LINK-SAVED","0","https://reports.aashe.org/institutions/university-of-the-fraser-valley-bc/report/2026-04-21/","2026-08-18T14:14:52",""
"3","UFV","2023_UFV_UFV-STARS-Report-v2.2-Silver.url","LINK-SAVED","0","https://reports.aashe.org/institutions/university-of-the-fraser-valley-bc/report/2023-01-31/","2026-08-18T14:14:52",""
"3","UFV","nd_UFV_UFV-and-the-17-SDGs-SDG-Aligned-Courses-tool.url","LINK-SAVED","0","https://www.ufv.ca/sustainable-ufv/sustainability-initiatives/ufv-and-the-17-sdgs/","2026-08-18T14:14:52",""
"3","UFV","nd_UFV_Xwexwilmexwawt-UFV-Strategic-Indigenization-Plan.url","LINK-SAVED","0","https://www.ufv.ca/indigenous/indigenization/strategic-plan/","2026-08-18T14:14:52",""
"3","UFV","nd_UFV_UFV-Office-of-Sustainability-About-Us-org-structure.url","LINK-SAVED","0","https://www.ufv.ca/sustainable-ufv/commitment/about-us/","2026-08-18T14:14:52",""
"3","Camosun College","2015_Camosun_Camosun-STARS-Report-page.url","LINK-SAVED","0","https://camosun.ca/about/sustainability/sustainability-plan/stars-report","2026-08-18T14:14:52",""
